TP001;An Nhơn
TP002;Bạc Liêu
TP003;Bảo Lộc
TP004;Bến Tre
TP005;Bình Dương
TP006;Buôn Ma Thuột
TP007;BX An Sương
TP008;Cà Mau
TP009;Cam Ranh
TP010;Cần Thơ
TP011;Cao Lãnh
TP012;Châu Đốc
TP013;Đà Lạt
TP014;Đà Nẵng
TP015;Đại Lộc
TP016;Đại Ngãi
TP017;Đắk Nông
TP018;Đơn Dương
TP019;Gia Lai
TP020;Hà Nội
TP021;Hà Tiên
TP022;Hộ Phòng
TP023;Hồng Ngự
TP024;Huế
TP025;Long Xuyên
TP026;Mũi Né
TP027;Năm Căn
TP028;Nam Định
TP029;Ngã 5
TP030;Nha Trang
TP031;Ninh Hoà
TP032;Ninh Thuận
TP033;Núi Sập
TP034;Phan Rang
TP035;Phan Thiết
TP036;Quãng Ngãi
TP037;Qui Nhơn
TP038;Rạch giá
TP039;Sa Đéc
TP040;Sóc Trăng
TP041;Tây Ninh
TP042;Tây Sơn
TP043;Thốt Nốt
TP044;Tịnh Biên
TP045;TP. Hồ Chí Minh
TP046;Trà Ôn
TP047;Trà Vinh
TP048;Tri Tôn
TP049;Tuy Hoà
TP050;Vị Thanh
TP051;Vĩnh Châu
TP052;Vĩnh Thuận
TP053;Vĩnh Thuận
TP054;Vũng Tàu
